cluster,gene,gini,local_mean,log_local_mean,Status,Reason,Category,is_labeled,is_signature,is_extra,rank_local_mean
CD8.c01.Tn.MAL,RP11-34P13.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-34P13.7,0.9992647472829262,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,FO538757.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,FO538757.2,0.8782916801635217,0.13942535,0.13052405,Kept,None,Kept,False,False,False,3627
CD8.c01.Tn.MAL,AP006222.2,0.9991783744213129,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP4-669L17.10,0.9989723701351596,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP5-857K21.4,0.9992897340058151,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-206L10.9,0.9950719024405541,0.008721333,0.008683522,Kept,None,Kept,False,False,False,10853
CD8.c01.Tn.MAL,FAM87B,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,LINC00115,0.9831755407104177,0.039534733,0.038773242,Filtered,Module_LINC_Noise (Redundant),Other Noise,False,False,False,7608
CD8.c01.Tn.MAL,FAM41C,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-54O7.1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-54O7.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,SAMD11,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,NOC2L,0.8798683267569005,0.14707066,0.13721144,Kept,None,Kept,False,False,False,3467
CD8.c01.Tn.MAL,KLHL17,0.9945927282304153,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,PLEKHN1,0.9908303084293896,0.0042357594,0.004226814,Kept,None,Kept,False,False,False,12058
CD8.c01.Tn.MAL,PERM1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-54O7.17,0.9990522281703489,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,HES4,0.9685753241696745,0.03667487,0.03601835,Kept,None,Kept,False,False,False,7807
CD8.c01.Tn.MAL,ISG15,0.6835309393490572,0.46921605,0.38472897,Kept,None,Kept,False,False,False,1041
CD8.c01.Tn.MAL,RP11-54O7.11,0.998356561583997,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,AGRN,0.9953081257215698,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP11-54O7.18,0.9986774618379203,0.0032306958,0.0032254884,Kept,None,Kept,False,False,False,12865
CD8.c01.Tn.MAL,RNF223,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,C1orf159,0.9807240328620453,0.009482852,0.009438172,Kept,None,Kept,False,False,False,10727
CD8.c01.Tn.MAL,RP11-465B22.8,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,TTLL10-AS1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,TTLL10,0.9994148290697197,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,TNFRSF18,0.8950522412390725,0.06223067,0.0603711,Kept,None,Kept,False,False,False,6255
CD8.c01.Tn.MAL,TNFRSF4,0.9697137994318225,0.06832166,0.06608888,Kept,None,Kept,False,False,False,5970
CD8.c01.Tn.MAL,SDF4,0.7332662303245364,0.3089005,0.26918748,Kept,None,Kept,False,False,False,1653
CD8.c01.Tn.MAL,B3GALT6,0.9650200918665125,0.023823008,0.023543667,Kept,None,Kept,False,False,False,8892
CD8.c01.Tn.MAL,FAM132A,0.9986369812846706,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,RP5-902P8.12,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,UBE2J2,0.8771028182205699,0.11306617,0.10711852,Kept,None,Kept,False,False,False,4331
CD8.c01.Tn.MAL,RP5-902P8.10,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,SCNN1D,0.9992449215231334,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,ACAP3,0.973107442896839,0.036447924,0.03579941,Kept,None,Kept,False,False,False,7826
CD8.c01.Tn.MAL,PUSL1,0.9554153066284717,0.052812494,0.05146515,Kept,None,Kept,False,False,False,6780
CD8.c01.Tn.MAL,CPSF3L,0.8231956132584335,0.19718644,0.17997417,Kept,None,Kept,False,False,False,2651
CD8.c01.Tn.MAL,CPTP,0.9574077377976704,0.05671683,0.05516677,Kept,None,Kept,False,False,False,6568
CD8.c01.Tn.MAL,TAS1R3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,DVL1,0.9933479829922277,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,MXRA8,0.9992431930831323,0.0036164501,0.0036099264,Kept,None,Kept,False,False,False,12539
CD8.c01.Tn.MAL,AURKAIP1,0.6640570464258143,0.49451333,0.40180063,Kept,None,Kept,False,False,False,969
