cluster,gene,gini,local_mean,log_local_mean,Status,Reason,Category,is_labeled,is_signature,is_extra,rank_local_mean
CD8.c06.Tem.GZMK,RP11-34P13.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP11-34P13.7,0.9992647472829262,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,FO538757.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,FO538757.2,0.8782916801635217,0.19393232,0.17725234,Kept,None,Kept,False,False,False,3190
CD8.c06.Tem.GZMK,AP006222.2,0.9991783744213129,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP4-669L17.10,0.9989723701351596,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP5-857K21.4,0.9992897340058151,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP11-206L10.9,0.9950719024405541,0.009165696,0.009123946,Kept,None,Kept,False,False,False,10704
CD8.c06.Tem.GZMK,FAM87B,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,LINC00115,0.9831755407104177,0.021284875,0.021061515,Filtered,Module_LINC_Noise (Redundant),Other Noise,False,False,False,9363
CD8.c06.Tem.GZMK,FAM41C,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP11-54O7.1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP11-54O7.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,SAMD11,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,NOC2L,0.8798683267569005,0.17222357,0.15890244,Kept,None,Kept,False,False,False,3555
CD8.c06.Tem.GZMK,KLHL17,0.9945927282304153,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,PLEKHN1,0.9908303084293896,0.011331334,0.0112676155,Kept,None,Kept,False,False,False,10451
CD8.c06.Tem.GZMK,PERM1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RP11-54O7.17,0.9990522281703489,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,HES4,0.9685753241696745,0.035484757,0.034869682,Kept,None,Kept,False,False,False,8223
CD8.c06.Tem.GZMK,ISG15,0.6835309393490572,0.63525516,0.49179885,Kept,None,Kept,False,False,False,867
CD8.c06.Tem.GZMK,RP11-54O7.11,0.998356561583997,0.009265154,0.009222495,Kept,None,Kept,False,False,False,10683
CD8.c06.Tem.GZMK,AGRN,0.9953081257215698,0.008561298,0.008524858,Kept,None,Kept,False,False,False,10845
CD8.c06.Tem.GZMK,RP11-54O7.18,0.9986774618379203,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,RNF223,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,C1orf159,0.9807240328620453,0.018979913,0.018802041,Kept,None,Kept,False,False,False,9576
CD8.c06.Tem.GZMK,RP11-465B22.8,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,TTLL10-AS1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,TTLL10,0.9994148290697197,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,TNFRSF18,0.8950522412390725,0.01401648,0.013919158,Kept,None,Kept,False,False,False,10061
CD8.c06.Tem.GZMK,TNFRSF4,0.9697137994318225,0.018050091,0.017889123,Kept,None,Kept,False,False,False,9656
CD8.c06.Tem.GZMK,SDF4,0.7332662303245364,0.40930015,0.34309322,Kept,None,Kept,False,False,False,1503
CD8.c06.Tem.GZMK,B3GALT6,0.9650200918665125,0.0137348045,0.013641337,Kept,None,Kept,False,False,False,10094
CD8.c06.Tem.GZMK,FAM132A,0.9986369812846706,0.0030479168,0.0030432814,Kept,None,Kept,False,False,False,12771
CD8.c06.Tem.GZMK,RP5-902P8.12,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,UBE2J2,0.8771028182205699,0.2007945,0.18298343,Kept,None,Kept,False,False,False,3092
CD8.c06.Tem.GZMK,RP5-902P8.10,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,SCNN1D,0.9992449215231334,0.0040499363,0.0040417574,Kept,None,Kept,False,False,False,12174
CD8.c06.Tem.GZMK,ACAP3,0.973107442896839,0.048248,0.0471202,Kept,None,Kept,False,False,False,7447
CD8.c06.Tem.GZMK,PUSL1,0.9554153066284717,0.0792402,0.07625728,Kept,None,Kept,False,False,False,6060
CD8.c06.Tem.GZMK,CPSF3L,0.8231956132584335,0.3155901,0.27428532,Kept,None,Kept,False,False,False,1965
CD8.c06.Tem.GZMK,CPTP,0.9574077377976704,0.04825535,0.04712721,Kept,None,Kept,False,False,False,7446
CD8.c06.Tem.GZMK,TAS1R3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,DVL1,0.9933479829922277,0.008068215,0.008035841,Kept,None,Kept,False,False,False,11003
CD8.c06.Tem.GZMK,MXRA8,0.9992431930831323,0.0,0.0,Kept,None,Kept,False,False,False,12993
CD8.c06.Tem.GZMK,AURKAIP1,0.6640570464258143,0.5084385,0.41107503,Kept,None,Kept,False,False,False,1158
CD8.c06.Tem.GZMK,CCNL2,0.8726931806923613,0.22294027,0.20125802,Kept,None,Kept,False,False,False,2801
CD8.c06.Tem.GZMK,MRPL20,0.7124451526974342,0.43357596,0.360172,Kept,None,Kept,False,False,False,1396
