cluster,gene,gini,local_mean,log_local_mean,Status,Reason,Category,is_labeled,is_signature,is_extra,rank_local_mean
CD8.c07.Temra.CX3CR1,RP11-34P13.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP11-34P13.7,0.9992647472829262,0.003543716,0.0035374518,Kept,None,Kept,False,False,False,12449
CD8.c07.Temra.CX3CR1,FO538757.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,FO538757.2,0.8782916801635217,0.18702452,0.17144977,Kept,None,Kept,False,False,False,3314
CD8.c07.Temra.CX3CR1,AP006222.2,0.9991783744213129,0.0029831184,0.0029786776,Kept,None,Kept,False,False,False,12777
CD8.c07.Temra.CX3CR1,RP4-669L17.10,0.9989723701351596,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP5-857K21.4,0.9992897340058151,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP11-206L10.9,0.9950719024405541,0.0029905553,0.0029860924,Kept,None,Kept,False,False,False,12768
CD8.c07.Temra.CX3CR1,FAM87B,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,LINC00115,0.9831755407104177,0.023275716,0.023008969,Filtered,Module_LINC_Noise (Redundant),Other Noise,False,False,False,9077
CD8.c07.Temra.CX3CR1,FAM41C,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP11-54O7.1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP11-54O7.3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,SAMD11,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,NOC2L,0.8798683267569005,0.2009124,0.1830816,Kept,None,Kept,False,False,False,3110
CD8.c07.Temra.CX3CR1,KLHL17,0.9945927282304153,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,PLEKHN1,0.9908303084293896,0.00338853,0.003382802,Kept,None,Kept,False,False,False,12583
CD8.c07.Temra.CX3CR1,PERM1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP11-54O7.17,0.9990522281703489,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,HES4,0.9685753241696745,0.059557006,0.0578509,Kept,None,Kept,False,False,False,6828
CD8.c07.Temra.CX3CR1,ISG15,0.6835309393490572,0.46225947,0.37998283,Kept,None,Kept,False,False,False,1287
CD8.c07.Temra.CX3CR1,RP11-54O7.11,0.998356561583997,0.0037007069,0.003693876,Kept,None,Kept,False,False,False,12188
CD8.c07.Temra.CX3CR1,AGRN,0.9953081257215698,0.0069831274,0.006958858,Kept,None,Kept,False,False,False,11129
CD8.c07.Temra.CX3CR1,RP11-54O7.18,0.9986774618379203,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RNF223,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,C1orf159,0.9807240328620453,0.034942158,0.034345537,Kept,None,Kept,False,False,False,8215
CD8.c07.Temra.CX3CR1,RP11-465B22.8,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,TTLL10-AS1,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,TTLL10,0.9994148290697197,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,TNFRSF18,0.8950522412390725,0.023869913,0.02358948,Kept,None,Kept,False,False,False,9025
CD8.c07.Temra.CX3CR1,TNFRSF4,0.9697137994318225,0.022314256,0.022068936,Kept,None,Kept,False,False,False,9159
CD8.c07.Temra.CX3CR1,SDF4,0.7332662303245364,0.5041073,0.40819955,Kept,None,Kept,False,False,False,1162
CD8.c07.Temra.CX3CR1,B3GALT6,0.9650200918665125,0.0635646,0.061626095,Kept,None,Kept,False,False,False,6658
CD8.c07.Temra.CX3CR1,FAM132A,0.9986369812846706,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,RP5-902P8.12,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,UBE2J2,0.8771028182205699,0.17090751,0.1577791,Kept,None,Kept,False,False,False,3583
CD8.c07.Temra.CX3CR1,RP5-902P8.10,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,SCNN1D,0.9992449215231334,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,ACAP3,0.973107442896839,0.04450595,0.043544,Kept,None,Kept,False,False,False,7616
CD8.c07.Temra.CX3CR1,PUSL1,0.9554153066284717,0.08155419,0.07839907,Kept,None,Kept,False,False,False,5893
CD8.c07.Temra.CX3CR1,CPSF3L,0.8231956132584335,0.24105076,0.21595842,Kept,None,Kept,False,False,False,2584
CD8.c07.Temra.CX3CR1,CPTP,0.9574077377976704,0.078679495,0.0757376,Kept,None,Kept,False,False,False,6005
CD8.c07.Temra.CX3CR1,TAS1R3,0.0,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,DVL1,0.9933479829922277,0.0103180595,0.010265192,Kept,None,Kept,False,False,False,10463
CD8.c07.Temra.CX3CR1,MXRA8,0.9992431930831323,0.0,0.0,Kept,None,Kept,False,False,False,12883
CD8.c07.Temra.CX3CR1,AURKAIP1,0.6640570464258143,0.5667254,0.4489877,Kept,None,Kept,False,False,False,1006
