cluster,Ground_Truth,non_identity_fraction_at_20,non_identity_fraction_at_50,marker_recall_at_50,problem_score
CD8.c03.Tm.RPS12,CD8_EffectorMemory,0.5,0.52,0.125,0.6325000000000001
CD8.c04.Tm.CD52,CD8_EffectorMemory,0.25,0.22,0.125,0.26999999999999996
CD8.c17.Tm.NME1,CD8_EffectorMemory,0.2,0.2,0.0,0.25
CD8.c02.Tm.IL7R,CD8_EffectorMemory,0.2,0.22,0.25,0.24500000000000002
CD8.c01.Tn.MAL,CD8_Naive,0.3,0.2,1.0,0.17500000000000002
CD8.c08.Tk.TYROBP,CD8_Effector,0.2,0.18,0.625,0.16749999999999998
CD8.c05.Tem.CXCR5,CD8_EffectorMemory,0.05,0.12,0.125,0.12000000000000001
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,0.1,0.1,0.125,0.1125
CD8.c06.Tem.GZMK,CD8_EffectorMemory,0.05,0.12,0.25,0.10750000000000001
CD8.c09.Tk.KIR2DL4,CD8_Effector,0.05,0.1,0.25,0.0875
CD8.c07.Temra.CX3CR1,CD8_Effector,0.05,0.16,0.875,0.085
CD8.c11.Tex.PDCD1,CD8_Exhausted,0.05,0.1,0.75,0.03749999999999999
CD8.c15.ISG.IFIT1,CD8_ISG,0.05,0.12,1.0,0.0325
CD8.c13.Tex.myl12a,CD8_Exhausted,0.05,0.1,0.875,0.024999999999999994
CD8.c16.MAIT.SLC4A10,CD8_MAIT,0.15,0.08,1.0,0.017499999999999988
CD8.c14.Tex.TCF7,CD8_Exhausted,0.05,0.04,0.75,-0.022500000000000006
CD8.c12.Tex.CXCL13,CD8_Exhausted,0.0,0.02,1.0,-0.08
