gene,mean,gini,Status,Reason,Category,local_mean,log_local_mean
RP11-34P13.3,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-34P13.7,0.00089878275,0.9992647472829262,Kept,None,Kept,0.0,0.0
FO538757.3,0.0,0.0,Kept,None,Kept,0.0,0.0
FO538757.2,0.17905892,0.8782916801635217,Kept,None,Kept,0.21761103,0.19689077
AP006222.2,0.00052667444,0.9991783744213129,Kept,None,Kept,0.0,0.0
RP4-669L17.10,0.0014600321,0.9989723701351596,Kept,None,Kept,0.0041770674,0.0041683675
RP5-857K21.4,0.00020546636,0.9992897340058151,Kept,None,Kept,0.0,0.0
RP11-206L10.9,0.006719085,0.9950719024405541,Kept,None,Kept,0.007652893,0.007623758
FAM87B,0.0,0.0,Kept,None,Kept,0.0,0.0
LINC00115,0.023762189,0.9831755407104177,Filtered,Module_LINC_Noise (Redundant),Uninformative IDs / predicted loci,0.027935708,0.027552623
FAM41C,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.1,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.3,0.0,0.0,Kept,None,Kept,0.0,0.0
SAMD11,0.0,0.0,Kept,None,Kept,0.0,0.0
NOC2L,0.17053288,0.8798683267569005,Kept,None,Kept,0.16172503,0.149906
KLHL17,0.007874193,0.9945927282304153,Kept,None,Kept,0.008391341,0.00835633
PLEKHN1,0.013484652,0.9908303084293896,Kept,None,Kept,0.011638794,0.011571584
PERM1,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.17,0.00013801774,0.9990522281703489,Kept,None,Kept,0.0,0.0
HES4,0.05668926,0.9685753241696745,Kept,None,Kept,0.07167246,0.069220476
ISG15,0.6032769,0.6835309393490572,Kept,None,Kept,0.6421432,0.4960022
RP11-54O7.11,0.0023203315,0.998356561583997,Kept,None,Kept,0.00846785,0.008432199
AGRN,0.0062056296,0.9953081257215698,Kept,None,Kept,0.0081526805,0.008119627
RP11-54O7.18,0.0015607929,0.9986774618379203,Kept,None,Kept,0.0,0.0
RNF223,0.0,0.0,Kept,None,Kept,0.0,0.0
C1orf159,0.025755856,0.9807240328620453,Kept,None,Kept,0.02821279,0.027822139
RP11-465B22.8,0.0,0.0,Kept,None,Kept,0.0,0.0
TTLL10-AS1,0.0,0.0,Kept,None,Kept,0.0,0.0
TTLL10,0.0006346255,0.9994148290697197,Kept,None,Kept,0.0042988914,0.0042896774
TNFRSF18,0.22952163,0.8950522412390725,Kept,None,Kept,0.10113619,0.09634255
TNFRSF4,0.054513592,0.9697137994318225,Kept,None,Kept,0.010622816,0.010566791
SDF4,0.41347376,0.7332662303245364,Kept,None,Kept,0.42176175,0.35189676
B3GALT6,0.048310466,0.9650200918665125,Kept,None,Kept,0.033565078,0.033014067
FAM132A,0.0021964645,0.9986369812846706,Kept,None,Kept,0.0,0.0
RP5-902P8.12,0.0,0.0,Kept,None,Kept,0.0,0.0
UBE2J2,0.17292082,0.8771028182205699,Kept,None,Kept,0.14989795,0.1396732
RP5-902P8.10,0.0,0.0,Kept,None,Kept,0.0,0.0
SCNN1D,0.0008455813,0.9992449215231334,Kept,None,Kept,0.0,0.0
ACAP3,0.03759508,0.973107442896839,Kept,None,Kept,0.031844083,0.031347573
PUSL1,0.05963117,0.9554153066284717,Kept,None,Kept,0.06988765,0.06755365
CPSF3L,0.2583666,0.8231956132584335,Kept,None,Kept,0.23477082,0.21088538
CPTP,0.05799253,0.9574077377976704,Kept,None,Kept,0.044589628,0.043624107
TAS1R3,0.0,0.0,Kept,None,Kept,0.0,0.0
DVL1,0.009727829,0.9933479829922277,Kept,None,Kept,0.01409265,0.013994272
MXRA8,0.00062402483,0.9992431930831323,Kept,None,Kept,0.0,0.0
AURKAIP1,0.52940196,0.6640570464258143,Kept,None,Kept,0.554852,0.44138038
