gene,mean,gini,Status,Reason,Category,local_mean,log_local_mean
RP11-34P13.3,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-34P13.7,0.00089878275,0.9992647472829262,Kept,None,Kept,0.008326155,0.008291684
FO538757.3,0.0,0.0,Kept,None,Kept,0.0,0.0
FO538757.2,0.17905892,0.8782916801635217,Kept,None,Kept,0.19579148,0.1788083
AP006222.2,0.00052667444,0.9991783744213129,Kept,None,Kept,0.0,0.0
RP4-669L17.10,0.0014600321,0.9989723701351596,Kept,None,Kept,0.009993568,0.009943963
RP5-857K21.4,0.00020546636,0.9992897340058151,Kept,None,Kept,0.0,0.0
RP11-206L10.9,0.006719085,0.9950719024405541,Kept,None,Kept,0.0061479467,0.006129125
FAM87B,0.0,0.0,Kept,None,Kept,0.0,0.0
LINC00115,0.023762189,0.9831755407104177,Filtered,Module_LINC_Noise (Redundant),Uninformative IDs / predicted loci,0.019044051,0.018864984
FAM41C,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.1,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.3,0.0,0.0,Kept,None,Kept,0.0,0.0
SAMD11,0.0,0.0,Kept,None,Kept,0.0,0.0
NOC2L,0.17053288,0.8798683267569005,Kept,None,Kept,0.16818176,0.1554485
KLHL17,0.007874193,0.9945927282304153,Kept,None,Kept,0.007723776,0.0076941005
PLEKHN1,0.013484652,0.9908303084293896,Kept,None,Kept,0.03254258,0.032024283
PERM1,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-54O7.17,0.00013801774,0.9990522281703489,Kept,None,Kept,0.0,0.0
HES4,0.05668926,0.9685753241696745,Kept,None,Kept,0.01640859,0.016275425
ISG15,0.6032769,0.6835309393490572,Kept,None,Kept,0.42295647,0.3527367
RP11-54O7.11,0.0023203315,0.998356561583997,Kept,None,Kept,0.0,0.0
AGRN,0.0062056296,0.9953081257215698,Kept,None,Kept,0.0,0.0
RP11-54O7.18,0.0015607929,0.9986774618379203,Kept,None,Kept,0.0,0.0
RNF223,0.0,0.0,Kept,None,Kept,0.0,0.0
C1orf159,0.025755856,0.9807240328620453,Kept,None,Kept,0.024253417,0.023963973
RP11-465B22.8,0.0,0.0,Kept,None,Kept,0.0,0.0
TTLL10-AS1,0.0,0.0,Kept,None,Kept,0.0,0.0
TTLL10,0.0006346255,0.9994148290697197,Kept,None,Kept,0.0,0.0
TNFRSF18,0.22952163,0.8950522412390725,Kept,None,Kept,0.6137369,0.47855258
TNFRSF4,0.054513592,0.9697137994318225,Kept,None,Kept,0.33869967,0.29169875
SDF4,0.41347376,0.7332662303245364,Kept,None,Kept,0.35879782,0.30660036
B3GALT6,0.048310466,0.9650200918665125,Kept,None,Kept,0.09835672,0.09381517
FAM132A,0.0021964645,0.9986369812846706,Kept,None,Kept,0.0,0.0
RP5-902P8.12,0.0,0.0,Kept,None,Kept,0.0,0.0
UBE2J2,0.17292082,0.8771028182205699,Kept,None,Kept,0.272712,0.24115005
RP5-902P8.10,0.0,0.0,Kept,None,Kept,0.0,0.0
SCNN1D,0.0008455813,0.9992449215231334,Kept,None,Kept,0.0,0.0
ACAP3,0.03759508,0.973107442896839,Kept,None,Kept,0.049926523,0.048720185
PUSL1,0.05963117,0.9554153066284717,Kept,None,Kept,0.03678413,0.03612374
CPSF3L,0.2583666,0.8231956132584335,Kept,None,Kept,0.27574363,0.24352925
CPTP,0.05799253,0.9574077377976704,Kept,None,Kept,0.07242559,0.06992299
TAS1R3,0.0,0.0,Kept,None,Kept,0.0,0.0
DVL1,0.009727829,0.9933479829922277,Kept,None,Kept,0.0041717705,0.004163093
MXRA8,0.00062402483,0.9992431930831323,Kept,None,Kept,0.0,0.0
AURKAIP1,0.52940196,0.6640570464258143,Kept,None,Kept,0.55914545,0.44413787
CCNL2,0.18822125,0.8726931806923613,Kept,None,Kept,0.27356702,0.24182165
MRPL20,0.4531786,0.7124451526974342,Kept,None,Kept,0.490038,0.39880162
RP4-758J18.13,0.0,0.0,Kept,None,Kept,0.0,0.0
ANKRD65,0.0,0.0,Kept,None,Kept,0.0,0.0
RP4-758J18.10,0.0,0.0,Kept,None,Kept,0.0,0.0
VWA1,0.00031812815,0.9992672444067686,Kept,None,Kept,0.0,0.0
ATAD3C,0.0038819972,0.9967710778518045,Kept,None,Kept,0.0,0.0
ATAD3B,0.05143644,0.9626801334376428,Kept,None,Kept,0.055071715,0.05360874
ATAD3A,0.040379107,0.969039642912335,Kept,None,Kept,0.050233815,0.04901282
TMEM240,0.0,0.0,Kept,None,Kept,0.0,0.0
SSU72,0.5721348,0.6503798665736827,Kept,None,Kept,0.60598963,0.47374016
RP5-832C2.5,0.013977672,0.9910378009952292,Kept,None,Kept,0.006275663,0.006256053
C1orf233,0.00041748807,0.9993667904896558,Kept,None,Kept,0.0,0.0
RP11-345P4.9,0.02241655,0.9844842060561212,Kept,None,Kept,0.037313428,0.03663413
MIB2,0.16056147,0.8911378667515489,Kept,None,Kept,0.12608652,0.11874837
MMP23B,0.035782762,0.9750584930698476,Kept,None,Kept,0.025424622,0.025106791
CDK11B,0.18999982,0.8704035888814974,Kept,None,Kept,0.16691723,0.15436544
RP11-345P4.10,0.0021200748,0.9986269191770469,Kept,None,Kept,0.0,0.0
SLC35E2B,0.09818258,0.9339403770513396,Kept,None,Kept,0.043528683,0.042607933
RP11-345P4.7,0.0013448539,0.9988715399624802,Kept,None,Kept,0.0070489603,0.0070242323
CDK11A,0.17702912,0.8802243083135162,Kept,None,Kept,0.207991,0.18895864
SLC35E2,0.024459515,0.9828267449117769,Kept,None,Kept,0.01864011,0.018468512
NADK,0.06282144,0.9533941771864355,Kept,None,Kept,0.04541521,0.044414137
GNB1,0.21030945,0.853378462829283,Kept,None,Kept,0.20207125,0.1840461
RP1-140A9.1,0.0009095611,0.9992460587145825,Kept,None,Kept,0.0,0.0
CALML6,0.00028075132,0.9994201054412272,Kept,None,Kept,0.0,0.0
TMEM52,0.0032833868,0.9975271195782043,Kept,None,Kept,0.0,0.0
CFAP74,0.0,0.0,Kept,None,Kept,0.0,0.0
GABRD,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-547D24.3,0.00019082041,0.9992524248042649,Kept,None,Kept,0.0,0.0
PRKCZ,0.07176632,0.9503955463733322,Kept,None,Kept,0.09461244,0.09040037
RP5-892K4.1,0.0002600554,0.9993917864300018,Kept,None,Kept,0.0,0.0
RP11-181G12.2,0.0002072001,0.9992938015450988,Kept,None,Kept,0.0,0.0
FAAP20,0.37783113,0.7483637725128268,Kept,None,Kept,0.46273306,0.38030666
SKI,0.11062961,0.9236048790757858,Kept,None,Kept,0.04739773,0.046308734
MORN1,0.008395962,0.994272372090729,Kept,None,Kept,0.025395714,0.0250786
RER1,0.41330305,0.73074790680372,Kept,None,Kept,0.44835395,0.3704277
PEX10,0.04349301,0.9686281852197761,Kept,None,Kept,0.032818586,0.032291554
PLCH2,0.022808926,0.9850317979905,Kept,None,Kept,0.03418337,0.033612102
RP3-395M20.2,0.0,0.0,Kept,None,Kept,0.0,0.0
RP3-395M20.3,0.0002700156,0.9994059569870792,Kept,None,Kept,0.0,0.0
PANK4,0.05988086,0.9573267003481994,Kept,None,Kept,0.054702185,0.053258438
HES5,0.00021006145,0.9993003678671742,Kept,None,Kept,0.0,0.0
RP3-395M20.12,0.08531115,0.9403105505442906,Kept,None,Kept,0.04306817,0.042166535
RP3-395M20.8,0.032337576,0.9779222064349867,Kept,None,Kept,0.03321311,0.03267347
TNFRSF14,0.4531958,0.7197824596577393,Kept,None,Kept,0.5852701,0.4607548
RP3-395M20.9,0.00398716,0.9968935865222929,Kept,None,Kept,0.0043383334,0.00432895
FAM213B,0.03281157,0.9773749924056846,Kept,None,Kept,0.022685248,0.022431765
MMEL1,0.0016500556,0.9987214534799659,Kept,None,Kept,0.0,0.0
TTC34,0.0003126118,0.999456374337927,Kept,None,Kept,0.0,0.0
LINC00982,0.0,0.0,Filtered,Module_LINC_Noise (Redundant),Uninformative IDs / predicted loci,0.0,0.0
PRDM16,0.0,0.0,Kept,None,Kept,0.0,0.0
ARHGEF16,0.00030029207,0.9994432622558823,Kept,None,Kept,0.0,0.0
MEGF6,0.013359559,0.9909366945748111,Kept,None,Kept,0.0124634765,0.012386447
RP11-46F15.2,0.0005729253,0.9993843991296217,Kept,None,Kept,0.0,0.0
TPRG1L,0.028365897,0.9795383839206713,Kept,None,Kept,0.026900915,0.026545446
WRAP73,0.12117857,0.9133424121140209,Kept,None,Kept,0.17088348,0.15775858
TP73,0.014308611,0.9888945822979687,Kept,None,Kept,0.02614928,0.025813233
RP5-1092A11.5,0.00020936449,0.9992987849949864,Kept,None,Kept,0.0052235858,0.0052099903
TP73-AS1,0.018147783,0.9868402754669734,Kept,None,Kept,0.030788012,0.03032357
SMIM1,0.008548676,0.9942696556664171,Kept,None,Kept,0.015383698,0.015266568
LRRC47,0.11355389,0.917436243768303,Kept,None,Kept,0.097243056,0.09280072
RP1-286D6.5,0.0002755345,0.9994133679261756,Kept,None,Kept,0.0,0.0
CEP104,0.09702573,0.9320879347941996,Kept,None,Kept,0.06548315,0.06342836
DFFB,0.019731753,0.9862348922880942,Kept,None,Kept,0.025535319,0.02521474
C1orf174,0.13695277,0.9040816997867867,Kept,None,Kept,0.10190154,0.09703736
LINC01134,0.00063647644,0.999414303700533,Filtered,Module_LINC_Noise (Redundant),Uninformative IDs / predicted loci,0.0,0.0
AJAP1,0.0,0.0,Kept,None,Kept,0.0,0.0
RP11-154H17.1,0.0014542441,0.9988246180814431,Kept,None,Kept,0.0,0.0
NPHP4,0.019590965,0.9855178654906999,Kept,None,Kept,0.0360339,0.035399865
KCNAB2,0.33060622,0.781868644107271,Kept,None,Kept,0.33480766,0.28878722
CHD5,0.00022671845,0.9993353034633161,Kept,None,Kept,0.0,0.0
RPL22,2.2912934,0.17636495455100096,Filtered,Module_Ribo_Artifact,Tech Noise (Mito/Ribo),2.4068508,1.2257884
RP1-120G22.11,0.0003009942,0.9994440383690928,Kept,None,Kept,0.0,0.0
RNF207,0.0036914158,0.9969238743076955,Kept,None,Kept,0.014325773,0.014224129
ICMT,0.10130119,0.9260690913818208,Kept,None,Kept,0.07295642,0.07041785
LINC00337,0.0003434685,0.9994850883802976,Filtered,Module_LINC_Noise (Redundant),Uninformative IDs / predicted loci,0.0,0.0
GPR153,0.0005521631,0.9994069504411595,Kept,None,Kept,0.0,0.0
ACOT7,0.09430813,0.929272951329633,Kept,None,Kept,0.042095993,0.04123406
RP1-202O8.3,0.004294618,0.996953199607547,Kept,None,Kept,0.0,0.0
HES2,0.0,0.0,Kept,None,Kept,0.0,0.0
ESPN,0.0044085314,0.9970483232796933,Kept,None,Kept,0.0042049983,0.004196182
TNFRSF25,0.10603878,0.9287229036825652,Kept,None,Kept,0.24393444,0.21827929
PLEKHG5,0.0018494875,0.9986170530211919,Kept,None,Kept,0.0065307235,0.006509491
NOL9,0.079668015,0.9443468701159226,Kept,None,Kept,0.10365448,0.09862693
TAS1R1,0.0,0.0,Kept,None,Kept,0.0,0.0
ZBTB48,0.057261504,0.9594366984622421,Kept,None,Kept,0.04603248,0.045004416
KLHL21,0.06971143,0.9507368368723695,Kept,None,Kept,0.041883357,0.041029997
PHF13,0.041337457,0.9713269445392688,Kept,None,Kept,0.0460659,0.045036364
THAP3,0.050630335,0.9622678543935068,Kept,None,Kept,0.05319205,0.051825598
DNAJC11,0.051843386,0.9629212937422272,Kept,None,Kept,0.040979337,0.04016194
RP11-312B8.1,0.00089522154,0.9992054258386829,Kept,None,Kept,0.0,0.0
CAMTA1,0.2208077,0.8468581038845745,Kept,None,Kept,0.22177693,0.2003063
VAMP3,0.09639141,0.9322874367430839,Kept,None,Kept,0.13091081,0.12302334
PER3,0.022131508,0.9840100901405809,Kept,None,Kept,0.01997359,0.019776734
RP3-467L1.4,0.003476115,0.9972389752574542,Kept,None,Kept,0.004972545,0.0049602226
UTS2,0.18221335,0.8758385496822716,Kept,None,Kept,0.12971754,0.12196764
TNFRSF9,0.3226324,0.8393860711120421,Kept,None,Kept,0.7453255,0.5569411
PARK7,1.1057568,0.43972415125621317,Kept,None,Kept,1.3891363,0.8709319
ERRFI1,0.14393787,0.9073139198488571,Kept,None,Kept,0.11193172,0.106098786
RP11-431K24.1,0.00029088426,0.9994325017252458,Kept,None,Kept,0.0,0.0
RP11-431K24.4,0.0,0.0,Kept,None,Kept,0.0,0.0
SLC45A1,0.006641203,0.9955220744621311,Kept,None,Kept,0.0047403285,0.0047291284
RERE,0.10983825,0.9266602114157233,Kept,None,Kept,0.06780708,0.065607086
RP5-1115A15.1,0.0008266207,0.9992915615835237,Kept,None,Kept,0.0,0.0
RP4-633I8.4,0.0,0.0,Kept,None,Kept,0.0,0.0
ENO1,1.0382826,0.4774473199491378,Kept,None,Kept,1.0533323,0.719464
ENO1-AS1,0.003582764,0.9977344959846209,Kept,None,Kept,0.0055967867,0.005581183
CA6,0.0024409622,0.9979406704524575,Kept,None,Kept,0.0,0.0
SLC2A7,0.0,0.0,Kept,None,Kept,0.0,0.0
SLC2A5,0.0005489112,0.9993938818718181,Kept,None,Kept,0.0,0.0
GPR157,0.0051540597,0.9962242831430128,Kept,None,Kept,0.0,0.0
MIR34AHG,0.0017567615,0.9985709153699047,Kept,None,Kept,0.0,0.0
RP3-510D11.2,0.004077686,0.997228748348817,Kept,None,Kept,0.007908644,0.007877535
H6PD,0.058077253,0.9588163085015687,Kept,None,Kept,0.083861575,0.0805302
SPSB1,0.059203323,0.9581413174439991,Kept,None,Kept,0.06814311,0.065921724
SLC25A33,0.14810859,0.8933044409616913,Kept,None,Kept,0.12699237,0.11955247
TMEM201,0.018472122,0.9862660032403476,Kept,None,Kept,0.047584545,0.04648708
PIK3CD,0.19270624,0.8691010587474478,Kept,None,Kept,0.1449612,0.13537075
PIK3CD-AS1,0.0031584632,0.9978236547515432,Kept,None,Kept,0.0073598265,0.007332875
PIK3CD-AS2,0.0027495353,0.9977076546484438,Kept,None,Kept,0.013180296,0.013094191
CLSTN1,0.19104801,0.8716706074446677,Kept,None,Kept,0.17148177,0.15826942
CTNNBIP1,0.11381472,0.9175671144656568,Kept,None,Kept,0.13098183,0.12308613
RP11-84A14.5,0.0,0.0,Kept,None,Kept,0.0,0.0
LZIC,0.12387119,0.9114667576227156,Kept,None,Kept,0.08831812,0.08463349
NMNAT1,0.008908349,0.9936402734368465,Kept,None,Kept,0.021086898,0.020867646
RBP7,0.00085259223,0.9992808230684641,Kept,None,Kept,0.0,0.0
UBE4B,0.10590284,0.9272341932222662,Kept,None,Kept,0.14835632,0.13833164
KIF1B,0.06148436,0.9570075860366883,Kept,None,Kept,0.057352748,0.055768378
PGD,0.19648916,0.8653016348515995,Kept,None,Kept,0.19050276,0.17437571
RP4-736L20.3,0.00077491085,0.9994357274851479,Kept,None,Kept,0.009125963,0.009084573
APITD1-CORT,0.024816668,0.9805062192968307,Kept,None,Kept,0.035188187,0.034583233
APITD1,0.0064199693,0.9951301163398778,Kept,None,Kept,0.0,0.0
CORT,0.00021823151,0.9993181694328381,Kept,None,Kept,0.0,0.0
