,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell,Colorectal cancer stem cell (proliferating),Deep Crypt Secretory cell,Enteroendocrine progenitor cell,Immature Goblet cell,Absorptive Goblet Cell,REG4+ Goblet cell,Absorptive colonocyte,Pericyte-like CAF,Myofibroblastic Cancer-Associated Fibroblast (mCAF),Antigen-presenting Cancer-Associated Fibroblast (apCAF),Endothelial cell,Mast cell,FCN1+ Inflammatory Macrophage,Antigen-presenting Tumor-Associated Macrophage,SPP1+ Tumor-Associated Macrophage,SPP1+ Tumor-Associated Macrophage (ISG-high),T cell,CD8+ Cytotoxic T cell (activated),Plasmablast,Plasma cell,Plasma cell (proliferating),IgA plasma cell,IgG3+ Plasma cell
CD24,0.123160694,0.077881823,0.074918884,0.059218226,0.038738435,0.056119199,0.056146318,0.036609757,0.094454632,0.007959286,0.001599509,0.009853525,0.005518082,0.01005861,0.003920214,0.008052699,0.017160877,0.056094412,0.005943468,0.031376556,0.006300429,0.004331474,0.004670941,0.006029538,0.003856308
DAB2,0.092735937,0.053508603,0.065916035,0.004656735,0.005789488,0.003092574,0.003031018,0.001979122,0.057843931,0.005831054,0.003995944,0.007964005,0.008093977,0.004529805,0.002990049,0.013811931,0.015023904,0.025074167,0.004251995,0.002460501,0.001609326,0.002830839,0.002919327,0.00288506,0.00384255
MYC,0.084254503,0.074600887,0.063055401,0.013899994,0.013719953,0.010673011,0.004580494,0.006773294,0.073236276,0.007905571,0.001750619,0.008346319,0.007736389,0.007123976,0.004788351,0.005563501,0.00958581,0.041084427,0.005835247,0.004784374,0.006150488,0.004237674,0.009750352,0.004155715,0.004018411
CDCA7,0.046999752,0.032278037,0.044363514,0.018522073,0.029527094,0.009907497,0.001161014,0.004639026,0.027815554,0.002615695,0.000824822,0.002504902,0.001392499,0.002257914,0.001305977,0.002174788,0.004888094,0.012670618,0.004486301,0.003183304,0.000920596,0.00129456,0.004745777,0.001035033,0.001531156
AXIN2,0.052879569,0.118132483,0.054165415,0.009101336,0.016351027,0.00571747,0.004389973,0.004569762,0.044795154,0.003038654,0.001675023,0.004330925,0.002018098,0.003571559,0.001506969,0.002962043,0.005579662,0.030060257,0.002779848,0.002598006,0.001258674,0.001684058,0.003325979,0.001245214,0.001666236
AREG,0.072722331,0.087258247,0.060470929,0.002492043,0.00261748,0.002306756,0.01256105,0.002677305,0.057188011,0.003105841,0.000771685,0.004896775,0.002167667,0.004406691,0.001945408,0.002926301,0.006511837,0.029493443,0.002688167,0.002958004,0.000886173,0.000888756,0.001579961,0.001245552,0.001861837
ASCL2,0.024669961,0.026642491,0.021665914,0.002663218,0.018223052,0.000899007,0.000237374,0.000535006,0.015184171,0.000930854,0.000366839,0.001571407,0.000897868,0.001353133,0.002186892,0.00158989,0.003281046,0.007918265,0.001235906,0.000868974,0.000582309,0.00046748,0.00113455,0.000441463,0.001011597
OLFM4,0.000581718,0.001279664,0.000599004,0.166183734,0.049723518,0.160459163,0.024660163,0.072314438,0.000605699,0.003000817,0.001518895,0.002474523,0.00211127,0.002301205,0.002738886,0.002297646,0.000447724,0.000932889,0.002167697,0.028030972,0.001575475,0.003732155,0.002013389,0.002425304,0.002435086
CHGA,6.25E-05,6.29E-05,8.67E-05,0.002092248,0.06435503,0.001180313,0.000526516,0.001557183,8.61E-05,0.000252005,8.37E-05,0.000378674,0.000196504,0.000438548,3.77E-05,0.000161167,0,4.02E-05,0.000281229,0.001200782,0.000299944,0.000419046,0.000160365,0.000387266,0.000350934
LGR5,0.053306283,0.028413961,0.024277129,0.013408133,0.058223669,0.003731531,0.000437776,0.002773339,0.016003043,0.000798122,0.000434772,0.001128561,0.000806044,0.001255399,0.000603836,0.000984336,0.001433537,0.007083253,0.000905946,0.001494649,9.00E-05,0.000525714,0.000543495,0.000408697,0.000875743
