dataset,cluster,Ground_Truth,variant,noise_fraction,low_gini_fraction,marker_recall,mean_gene_gini,n_genes
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,0.88,0.02,0.5,0.17252030101341165,50
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,0.5,0.02,0.875,0.4103908759640986,50
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,0.04,0.04,0.875,0.5929954265769802,50
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,0.0,0.0,1.0,0.7375398533222634,50
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,0.24,0.08,0.5,0.40278033853886064,50
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,0.08,0.0,0.5,0.48089036002522784,50
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,regex_mask,0.0,0.0,0.5,0.48425092507651263,50
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,full_core,0.0,0.0,0.25,0.6248524244254624,50
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,standard,0.84,0.06,0.125,0.16619401085657046,50
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,filter_only,0.2857142857142857,0.0,0.125,0.7865189428270681,14
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,regex_mask,0.0,0.0,0.125,0.7538390319993468,10
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,full_core,0.0,0.0,0.125,0.7852584137812348,7
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,standard,0.24,0.16,0.0,0.3921526357782926,50
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,filter_only,0.02,0.0,0.0,0.6158126754678922,50
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,regex_mask,0.0,0.0,0.0,0.6160587759758781,50
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,full_core,0.0,0.0,0.0,0.7253784736850134,32
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,standard,0.28,0.04,0.375,0.42465251257886977,50
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,filter_only,0.04,0.0,0.375,0.5202095764653071,50
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,regex_mask,0.0,0.0,0.375,0.5376359796219948,50
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,full_core,0.0,0.0,0.125,0.6285833937507587,50
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,standard,0.1,0.06,0.375,0.4187900176612662,50
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,filter_only,0.04,0.04,0.5,0.4405057456904134,50
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,regex_mask,0.04,0.04,0.5,0.4405057456904134,50
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,full_core,0.0,0.0,0.25,0.5435608488305566,50
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,standard,0.16,0.04,0.75,0.5391268285540809,50
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,filter_only,0.0,0.0,0.75,0.6153451361509973,50
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,regex_mask,0.0,0.0,0.75,0.6153451361509973,50
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,full_core,0.0,0.0,0.875,0.6688108705246516,50
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,standard,0.34,0.0,0.375,0.4420039931074406,50
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,filter_only,0.18,0.0,0.375,0.5208475604921231,50
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,regex_mask,0.0,0.0,0.375,0.5525274193194707,50
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,full_core,0.0,0.0,0.625,0.7243631229206647,50
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,standard,0.08,0.02,0.125,0.5788052846531686,50
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,filter_only,0.06,0.0,0.125,0.594183145301283,50
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,regex_mask,0.0,0.0,0.125,0.605991993137601,50
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,full_core,0.0,0.0,0.25,0.7146967146045786,50
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,standard,0.12,0.12,0.375,0.43315421410164107,50
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,filter_only,0.04,0.04,0.375,0.4719462444048699,50
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,regex_mask,0.04,0.04,0.375,0.4719462444048699,50
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,full_core,0.02,0.02,0.125,0.5377294673013985,50
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,standard,0.06,0.0,0.625,0.5476558900431985,50
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,filter_only,0.04,0.0,0.625,0.5680432407245228,50
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,regex_mask,0.0,0.0,0.625,0.5683255239925091,50
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,full_core,0.0,0.0,0.75,0.6346998929700757,50
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,standard,0.02,0.0,0.875,0.6744535783979514,50
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,filter_only,0.0,0.0,0.875,0.6975142917354714,50
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,regex_mask,0.0,0.0,0.875,0.6975142917354714,50
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,full_core,0.0,0.0,1.0,0.7401929228756033,50
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,standard,0.04,0.0,0.875,0.6820159786904116,50
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,filter_only,0.02,0.0,0.875,0.730288249392266,50
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,regex_mask,0.0,0.0,0.875,0.7235959822560422,50
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,0.0,0.0,0.875,0.7690655025645502,50
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,0.2,0.02,0.625,0.5934546435501561,50
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,0.06,0.0,0.625,0.6968162586578773,50
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,0.0,0.0,0.75,0.7276347661064088,50
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,0.0,0.0,0.875,0.7583964288172439,50
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,0.02,0.0,1.0,0.7153638402453183,50
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,0.02,0.0,1.0,0.7153638402453183,50
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,regex_mask,0.0,0.0,1.0,0.7179326199647339,50
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,full_core,0.0,0.0,1.0,0.748391841868604,50
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,standard,0.18,0.02,1.0,0.5650631653307414,50
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,filter_only,0.06,0.0,1.0,0.6179406140904609,50
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,regex_mask,0.0,0.0,1.0,0.6273998313948705,50
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,full_core,0.0,0.0,1.0,0.7358945557350244,50
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,standard,0.18,0.08,0.0,0.44828335949484405,50
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,filter_only,0.12,0.02,0.0,0.4922800841815713,50
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,regex_mask,0.02,0.02,0.0,0.48877100170500803,50
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,full_core,0.0,0.0,0.0,0.550939820874457,50
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,standard,1.0,0.04,0.0,0.093056155736593,50
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,filter_only,0.02,0.0,1.0,0.7667957278827562,50
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,regex_mask,0.0,0.0,1.0,0.7683782550435139,50
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,full_core,0.0,0.0,0.75,0.8743495239358202,37
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,standard,0.36,0.04,0.25,0.4314556169315523,50
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,filter_only,0.14,0.0,0.375,0.5607969515342096,50
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,regex_mask,0.0,0.0,0.375,0.5946989774614925,50
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,full_core,0.0,0.0,0.625,0.6855575161956223,50
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,standard,0.82,0.02,0.625,0.21349903202511636,50
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,filter_only,0.26,0.02,0.625,0.5365666901322222,50
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,regex_mask,0.02,0.02,0.75,0.6218231868456453,50
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,full_core,0.0,0.0,0.625,0.6602550035307513,50
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,standard,0.74,0.02,0.0,0.2544167894506785,50
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,filter_only,0.4,0.0,0.0,0.5430763064669982,50
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,regex_mask,0.0,0.0,0.0,0.7122866776800622,50
