Dataset,Pipeline,N,Mean,CI_Low,CI_High,Mean_pct,CI_Low_pct,CI_High_pct
CD8,Standard,17,0.7529411764705882,0.5718339704593305,0.934048382481846,75.29411764705883,57.18339704593305,93.4048382481846
CD8,CellTypist,17,0.7352941176470588,0.6879322259098474,0.7826560093842702,73.52941176470587,68.79322259098474,78.26560093842701
CD8,SingleR,17,0.8588235294117647,0.7854508022345252,0.932196256589004,85.88235294117646,78.54508022345253,93.2196256589004
CD8,Azimuth,17,0.8352941176470587,0.71185670092202,0.9587315343720976,83.52941176470587,71.185670092202,95.87315343720977
CD8,Curated,17,0.8176470588235293,0.6950199621267117,0.9402741555203468,81.76470588235293,69.50199621267117,94.02741555203468
CD4,Standard,22,0.75,0.6014176077971307,0.8985823922028693,75.0,60.141760779713074,89.85823922028693
CD4,CellTypist,22,0.8636363636363634,0.7997459616101249,0.927526765662602,86.36363636363635,79.97459616101249,92.7526765662602
CD4,SingleR,22,0.6045454545454546,0.4860177090751176,0.7230732000157916,60.45454545454546,48.60177090751176,72.30732000157916
CD4,Azimuth,22,0.8636363636363634,0.7997459616101249,0.927526765662602,86.36363636363635,79.97459616101249,92.7526765662602
CD4,Curated,22,0.85,0.7858439402706182,0.9141560597293816,85.0,78.58439402706182,91.41560597293818
MSC,Standard,8,0.80625,0.5867732073771807,1.0,80.625,58.67732073771808,100.0
MSC,CellTypist,8,0.825,0.6004537909471639,1.0,82.5,60.04537909471639,100.0
MSC,SingleR,8,0.2437499999999999,0.189953508478712,0.2975464915212878,24.375,18.995350847871208,29.75464915212879
MSC,Azimuth,8,0.825,0.6004537909471639,1.0,82.5,60.04537909471639,100.0
MSC,Curated,8,0.89375,0.7235675611292399,1.0,89.375,72.35675611292399,100.0
MOUSE_B,Standard,5,1.0,1.0,1.0,100.0,100.0,100.0
MOUSE_B,CellTypist,5,0.0,0.0,0.0,0.0,0.0,0.0
MOUSE_B,SingleR,5,0.7,0.308,1.0,70.0,30.8,100.0
MOUSE_B,Azimuth,5,0.0,0.0,0.0,0.0,0.0,0.0
MOUSE_B,Curated,5,1.0,1.0,1.0,100.0,100.0,100.0
