Method,N_Genes,mean,std,n,se,lower,upper
LLM-scCurator,10,79.41176470588235,32.87677528197035,17,7.973789242191741,63.78313779118653,95.04039162057816
LLM-scCurator,20,79.41176470588235,32.87677528197035,17,7.973789242191741,63.78313779118653,95.04039162057816
LLM-scCurator,50,85.88235294117646,15.434872662825795,17,3.743506488634663,78.54508022345253,93.2196256589004
LLM-scCurator,100,83.52941176470588,20.291986247835695,17,4.921529567847503,73.88321381172477,93.175609717687
LLM-scCurator,200,78.82352941176471,14.090046549415863,17,3.417338246653603,72.12554644832365,85.52151237520577
Standard,10,57.64705882352941,42.504325039445376,17,10.308813040189342,37.4417852647583,77.85233238230052
Standard,20,62.94117647058823,45.65696905763031,17,11.073441527656882,41.23723107638074,84.64512186479573
Standard,50,77.05882352941177,38.52997305383709,17,9.344891097245446,58.74283697881069,95.37481008001285
Standard,100,71.17647058823529,42.26144119365436,17,10.249905054839191,51.08665668075048,91.2662844957201
Standard,200,69.41176470588235,41.60387425398236,17,10.090421646122612,49.63453827948203,89.18899113228267
