Method,N_Genes,mean,std,n,se,lower,upper
LLM-scCurator,10,11.764705882352942,33.21055820775358,17,8.054743492723032,0.0,27.552003128090085
LLM-scCurator,20,11.764705882352942,33.21055820775358,17,8.054743492723032,0.0,27.552003128090085
LLM-scCurator,50,0.0,0.0,17,0.0,0.0,0.0
LLM-scCurator,100,5.882352941176471,24.2535625036333,17,5.882352941176471,0.0,17.411764705882355
LLM-scCurator,200,0.0,0.0,17,0.0,0.0,0.0
Standard,10,35.294117647058826,49.2592183071889,17,11.947115300935236,11.877771657225765,58.71046363689189
Standard,20,35.294117647058826,49.2592183071889,17,11.947115300935236,11.877771657225765,58.71046363689189
Standard,50,17.647058823529413,39.295262399668786,17,9.530501027070382,0.0,36.326840836587365
Standard,100,23.529411764705884,43.72373160976031,17,10.604562574894086,2.744469117913475,44.31435441149829
Standard,200,23.529411764705884,43.72373160976031,17,10.604562574894086,2.744469117913475,44.31435441149829
