Method,Noise_Pct,mean,std,n,se,lower,upper
LLM-scCurator,0.0,78.44444444444444,15.420044674960504,9,5.140014891653501,68.37001525680358,88.5188736320853
LLM-scCurator,20.0,74.0,33.49626844888846,9,11.165422816296152,52.11577128005955,95.88422871994045
LLM-scCurator,40.0,79.55555555555556,34.12884085019264,9,11.376280283397547,57.258046200096366,100.0
LLM-scCurator,60.0,78.22222222222223,31.34396982586036,9,10.447989941953454,57.74416193599346,98.700282508451
LLM-scCurator,80.0,79.33333333333333,33.52610922848042,9,11.175369742826808,57.42960863739279,100.0
Standard,0.0,66.0,22.803508501982762,9,7.60116950066092,51.10170777870459,80.8982922212954
Standard,20.0,55.111111111111114,14.003967691733335,9,4.667989230577779,45.96185221917867,64.26037000304356
Standard,40.0,46.44444444444444,18.296933562151274,9,6.098977854050425,34.49044785050561,58.398441038383275
Standard,60.0,40.666666666666664,20.688160865577203,9,6.896053621859068,27.15040156782289,54.18293176551044
Standard,80.0,29.555555555555557,19.099156467702386,9,6.366385489234129,17.077439996656665,42.03367111445445
