cell_id,x,y,Level0,Level1,Level2,leiden_coarse,major_type,fine_type
aaamaled-1,3362.331299,1003.298828,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aaamgcbo-1,3490.04126,1009.287659,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaanibim-1,3468.549561,1092.19458,imm,B cells,Plasma,3,Plasma cell,IgA plasma cell
aaanilpj-1,3473.043945,1107.574951,str,Fibroblast,CAF,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aaanjfkp-1,3467.904541,1100.142944,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aaankcbo-1,3474.873779,1100.322266,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aaankeki-1,3474.310303,1140.833252,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aaanofml-1,3476.194092,1158.639526,str,Smooth Muscle,Smooth Muscle,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aaanopoo-1,3469.083252,1156.16272,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aaaohook-1,3473.990234,1152.123413,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aaaolcfn-1,3475.228027,1146.791016,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aaaonejg-1,3468.077393,1144.757446,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aaapboig-1,3478.779785,1123.158569,tum,Tumor,Proliferating Immune II,3,Plasma cell,IgG3+ Plasma cell
aaapgpoa-1,3482.07959,1150.307495,imm,Myeloid,Mast,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Mast cell
aaapjbfb-1,3479.958252,1141.747681,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aaaplaif-1,3481.703857,1131.951294,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aababnkb-1,3502.22876,1093.572021,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aabailjm-1,3501.690186,1176.075073,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),FCN1+ Inflammatory Macrophage
aabainki-1,3490.552002,1138.142212,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabajnon-1,3493.96167,1120.312866,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),FCN1+ Inflammatory Macrophage
aabalofo-1,3471.07959,1041.141357,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabanibl-1,3480.868164,1044.24646,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabbbfji-1,3485.746338,1042.293945,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabbfkkn-1,3494.608154,1075.714478,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
