label,gene,log2FC,delta_det,AUROC
T cell,LGR5,-3.027366005859726,-0.2779172562230652,0.35875879908281355
T cell,OLFM4,-2.288000130235928,-0.08535204315630711,0.4548892269349398
T cell,ASCL2,-2.3300112641323607,-0.274138712681118,0.3617365732101359
T cell,AXIN2,-3.0521850866561793,-0.3703433406334285,0.30210021752234445
T cell,SMOC2,-0.5631746799174444,-0.04198738364673294,0.4793076948945587
T cell,MKI67,-0.02256289913050724,-0.06883045478955091,0.47170144168480804
T cell,REG4,-1.7129474765250754,-0.08658372051144622,0.4556263674923162
T cell,ATOH1,-0.46394864943767106,-0.027433818782830494,0.4863359669632278
T cell,NEUROD1,-0.15654408637910283,-0.014363897878821474,0.4928960542571684
T cell,CHGA,-0.37176471992932253,-0.00548999286400822,0.4972607568841661
T cell,FABP1,-2.8467773975799653,-0.33029578230321655,0.32513353377460197
T cell,CA1,-0.7699597673190659,-0.02461281412949646,0.4876981736580058
T cell,AQP8,0.0015045317472184945,-0.004376380449025941,0.4978451749812819
T cell,FAP,-0.24652433103724908,-0.021241919108276185,0.48962786185968765
T cell,ACTA2,0.13357743624171864,0.02080830793713806,0.5475935628398809
T cell,RGS5,-0.49565362478560254,0.002156141948537693,0.5002227368047482
T cell,GREM1,-0.21561908420653914,0.051176658108405604,0.5240285728165025
T cell,PECAM1,-0.5283893434546355,0.01909038026022944,0.5027629702303237
T cell,PLVAP,-0.7130645015334062,-0.019240969003271782,0.48997351845462433
T cell,CD68,0.20277698740161515,0.017782410486501143,0.5114498857562823
T cell,SPP1,-0.22823301674667043,-0.008607260852392343,0.49586256790725675
T cell,C1QA,0.3645123456681289,0.03471867174561333,0.5175149864599474
T cell,FCN1,-0.2945487042396934,-0.00523405197317128,0.4973994764755294
T cell,CD3E,3.501250798490634,0.5933253852385598,0.8098590488559525
T cell,CD8A,2.973180822395555,0.2069902983917264,0.607867521792201
T cell,FOXP3,1.7766705447655078,0.08626844281330832,0.5436308113617822
T cell,CCL4,1.352419746211037,0.11347140838619835,0.5580922012082938
T cell,IL7R,3.6123435334675147,0.6110288157402638,0.8327333287694684
T cell,CD79A,-0.1302695726784687,0.014660745272806017,0.5066783961514303
T cell,MS4A1,0.29909279285705265,0.009926846909372265,0.5050848103698934
T cell,MZB1,-0.2566962427161916,0.10422929561203548,0.5457044354053107
T cell,IGHG3,0.46015450835346183,0.1822393778208592,0.5979641692688543
